tourney_id,tourney_country,tourney_city,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_country,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_rank,winner_rank_points,loser_id,loser_country,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011520,France,Paris,Roland Garros,Clay,128,G,2011-05-22,106,104792,France,9.0,Main Draw,Gael Monfils,R,193.0,9.0,2465.0,104327,Belgium,0.0,Q,Steve Darcis,R,178.0,135.0,426.0,6-3 6-4 7-5,5,R32,122.0,7.0,2.0,106.0,68.0,49.0,20.0,16.0,7.0,9.0,1.0,1.0,89.0,58.0,38.0,12.0,15.0,4.0,9.0
2000520,France,Paris,Roland Garros,Clay,128,G,2000-05-29,53,102381,Austria,0.0,Q,Werner Eschauer,R,188.0,209.0,162.0,102642,France,0.0,WC,Cyril Saulnier,R,190.0,126.0,320.0,3-6 6-2 6-2 6-2,5,R128,144.0,1.0,3.0,99.0,67.0,48.0,18.0,16.0,5.0,7.0,3.0,7.0,118.0,71.0,42.0,19.0,17.0,12.0,19.0
2010773,Romania,Bucharest,Bucharest,Clay,28,A,2010-09-20,24,104665,Spain,0.0,Q,Pablo Andujar,R,180.0,105.0,510.0,104655,Uruguay,0.0,Main Draw,Pablo Cuevas,R,180.0,70.0,705.0,6-4 6-4,3,QF,131.0,1.0,2.0,70.0,45.0,27.0,16.0,10.0,8.0,10.0,4.0,0.0,86.0,46.0,25.0,19.0,10.0,10.0,14.0
2003580,Australia,Melbourne,Australian Open,Hard,128,G,2003-01-13,79,103714,Sweden,0.0,Q,Andreas Vinciguerra,L,180.0,145.0,264.0,102382,Austria,0.0,Main Draw,Julian Knowle,L,188.0,131.0,299.0,6-2 0-1 RET,5,R64,31.0,2.0,0.0,28.0,17.0,14.0,6.0,4.0,3.0,3.0,1.0,2.0,32.0,19.0,14.0,4.0,5.0,2.0,4.0
20101720,Thailand,Bangkok,Bangkok,Hard,28,A,2010-09-27,18,103781,Austria,3.0,Main Draw,Jurgen Melzer,L,183.0,13.0,2605.0,104534,Israel,0.0,Main Draw,Dudi Sela,R,175.0,85.0,623.0,6-3 6-4,3,R16,75.0,6.0,1.0,59.0,39.0,25.0,12.0,10.0,1.0,4.0,1.0,1.0,57.0,30.0,18.0,9.0,9.0,6.0,11.0
2006410,Monaco,Monte Carlo,Monte Carlo Masters,Clay,64,M,2006-04-17,18,104076,Argentina,0.0,Main Draw,Jose Acasuso,R,190.0,35.0,900.0,103835,Italy,0.0,Main Draw,Filippo Volandri,R,183.0,42.0,826.0,6-4 6-2,3,R64,78.0,2.0,2.0,61.0,26.0,17.0,22.0,9.0,3.0,4.0,0.0,2.0,42.0,27.0,17.0,6.0,9.0,0.0,4.0
2001422,United States,Cincinnati,Cincinnati Masters,Hard,64,M,2001-08-06,38,102998,United States,0.0,Main Draw,Jan Michael Gambill,R,190.0,22.0,1265.0,102562,Czech Republic,0.0,Main Draw,Jiri Novak,R,190.0,42.0,856.0,7-6(2) 6-2,3,R32,82.0,16.0,1.0,63.0,32.0,28.0,19.0,10.0,3.0,3.0,6.0,5.0,71.0,36.0,29.0,13.0,10.0,1.0,3.0
2004341,France,Metz,Metz,Hard,32,A,2004-10-11,29,103592,France,0.0,Q,Jerome Haehnel,R,185.0,185.0,214.0,103908,France,0.0,Main Draw,Paul Henri Mathieu,R,185.0,149.0,286.0,6-7(5) 7-6(4) 7-6(1),3,SF,190.0,6.0,3.0,117.0,73.0,58.0,28.0,18.0,2.0,3.0,19.0,3.0,137.0,71.0,59.0,31.0,18.0,8.0,9.0
20146967,China,Shenzhen,Shenzhen,Hard,28,A,2014-09-22,21,105053,Colombia,6.0,Main Draw,Santiago Giraldo,R,188.0,30.0,1180.0,104678,Serbia,0.0,Q,Viktor Troicki,R,193.0,174.0,304.0,7-6(6) 6-3,3,QF,91.0,1.0,2.0,81.0,52.0,38.0,13.0,11.0,3.0,4.0,9.0,2.0,60.0,34.0,26.0,14.0,10.0,0.0,2.0
2014338,Australia,Sydney,Sydney,Hard,28,A,2014-01-06,13,105223,Argentina,1.0,Main Draw,Juan Martin Del Potro,R,198.0,5.0,5255.0,103917,France,0.0,Main Draw,Nicolas Mahut,R,190.0,50.0,938.0,1-6 6-3 6-4,3,R16,111.0,15.0,2.0,88.0,58.0,41.0,15.0,13.0,2.0,4.0,11.0,1.0,73.0,42.0,36.0,15.0,13.0,3.0,5.0
